INDICATOR,YEAR,WHOREGION,COUNTRY,EXPENDITURES
Per capita total expenditure on health at average exchange rate (US$),2002,Africa,Chad,17.8
Per capita total expenditure on health at average exchange rate (US$),1999,Africa,Chad,11.3
Per capita total expenditure on health at average exchange rate (US$),1995,Africa,Chad,12
Per capita total expenditure on health at average exchange rate (US$),2005,Africa,Chad,25
Per capita total expenditure on health at average exchange rate (US$),1997,Africa,Chad,11.5
Per capita total expenditure on health at average exchange rate (US$),1998,Africa,Chad,12.2
Per capita total expenditure on health at average exchange rate (US$),2004,Africa,Chad,23.3
Per capita total expenditure on health at average exchange rate (US$),2011,Africa,Chad,24.9
Per capita total expenditure on health at average exchange rate (US$),2000,Africa,Chad,10.5
Per capita total expenditure on health at average exchange rate (US$),2009,Africa,Chad,28
Per capita total expenditure on health at average exchange rate (US$),2001,Africa,Chad,12
Per capita total expenditure on health at average exchange rate (US$),2006,Africa,Chad,23.7
Per capita total expenditure on health at average exchange rate (US$),2012,Africa,Chad,24.8
Per capita total expenditure on health at average exchange rate (US$),2010,Africa,Chad,29.3
Per capita government expenditure on health (PPP int. $),1995,Americas,Chile,191
Per capita government expenditure on health (PPP int. $),2001,Americas,Chile,326.7
Per capita government expenditure on health (PPP int. $),2002,Americas,Chile,326.5
Per capita government expenditure on health (PPP int. $),1996,Americas,Chile,219.6
Per capita government expenditure on health (PPP int. $),2000,Americas,Chile,319.5
Per capita government expenditure on health (PPP int. $),2003,Americas,Chile,292.7
Per capita government expenditure on health (PPP int. $),2007,Americas,Chile,456.6
Per capita government expenditure on health (PPP int. $),1999,Americas,Chile,288.7
Per capita government expenditure on health (PPP int. $),2004,Americas,Chile,307
Per capita government expenditure on health (PPP int. $),2005,Americas,Chile,325.1
Per capita government expenditure on health (PPP int. $),1997,Americas,Chile,239.6
Per capita government expenditure on health (PPP int. $),1998,Americas,Chile,272.4
Per capita government expenditure on health (PPP int. $),2006,Americas,Chile,398.1
Per capita government expenditure on health (PPP int. $),2009,Americas,Chile,582.7
Per capita government expenditure on health (PPP int. $),2010,Americas,Chile,631.1
Per capita government expenditure on health (PPP int. $),2011,Americas,Chile,715.8
Per capita government expenditure on health (PPP int. $),2012,Americas,Chile,780.4
Per capita government expenditure on health (PPP int. $),2008,Americas,Chile,498.4
Per capita government expenditure on health at average exchange rate (US$),2001,Americas,Chile,149
Per capita government expenditure on health at average exchange rate (US$),2005,Americas,Chile,193.8
Per capita government expenditure on health at average exchange rate (US$),2002,Americas,Chile,140.7
Per capita government expenditure on health at average exchange rate (US$),1995,Americas,Chile,127.5
Per capita government expenditure on health at average exchange rate (US$),1996,Americas,Chile,142.1
Per capita government expenditure on health at average exchange rate (US$),1997,Americas,Chile,156.2
Per capita government expenditure on health at average exchange rate (US$),1998,Americas,Chile,163.1
Per capita government expenditure on health at average exchange rate (US$),2003,Americas,Chile,130.3
Per capita government expenditure on health at average exchange rate (US$),2004,Americas,Chile,162
Per capita government expenditure on health at average exchange rate (US$),1999,Americas,Chile,158
Per capita government expenditure on health at average exchange rate (US$),2000,Americas,Chile,168.8
Per capita government expenditure on health at average exchange rate (US$),2006,Americas,Chile,240.4
Per capita government expenditure on health at average exchange rate (US$),2007,Americas,Chile,282.7
Per capita government expenditure on health at average exchange rate (US$),2010,Americas,Chile,430.3
Per capita government expenditure on health at average exchange rate (US$),2008,Americas,Chile,323.7
Per capita government expenditure on health at average exchange rate (US$),2009,Americas,Chile,364.3
Per capita government expenditure on health at average exchange rate (US$),2011,Americas,Chile,494.7
Per capita government expenditure on health at average exchange rate (US$),2012,Americas,Chile,536.1
Per capita total expenditure on health (PPP int. $),1995,Americas,Chile,499.6
Per capita total expenditure on health (PPP int. $),1996,Americas,Chile,581.8
Per capita total expenditure on health (PPP int. $),2002,Americas,Chile,767.4
Per capita total expenditure on health (PPP int. $),2004,Americas,Chile,784.6
Per capita total expenditure on health (PPP int. $),2009,Americas,Chile,1215.9
Per capita total expenditure on health (PPP int. $),1997,Americas,Chile,622.4
Per capita total expenditure on health (PPP int. $),1999,Americas,Chile,695.3
Per capita total expenditure on health (PPP int. $),2000,Americas,Chile,738.3
Per capita total expenditure on health (PPP int. $),2001,Americas,Chile,763.3
Per capita total expenditure on health (PPP int. $),2006,Americas,Chile,971.7
Per capita total expenditure on health (PPP int. $),2010,Americas,Chile,1312
Per capita total expenditure on health (PPP int. $),2003,Americas,Chile,760.3
Per capita total expenditure on health (PPP int. $),2005,Americas,Chile,834.3
Per capita total expenditure on health (PPP int. $),2012,Americas,Chile,1606.1
Per capita total expenditure on health (PPP int. $),2008,Americas,Chile,1127.2
Per capita total expenditure on health (PPP int. $),2007,Americas,Chile,1073.3
Per capita total expenditure on health (PPP int. $),2011,Americas,Chile,1478.3
Per capita total expenditure on health (PPP int. $),1998,Americas,Chile,684
Per capita total expenditure on health at average exchange rate (US$),1999,Americas,Chile,380.5
Per capita total expenditure on health at average exchange rate (US$),2005,Americas,Chile,497.3
Per capita total expenditure on health at average exchange rate (US$),2003,Americas,Chile,338.5
Per capita total expenditure on health at average exchange rate (US$),1998,Americas,Chile,409.7
Per capita total expenditure on health at average exchange rate (US$),2000,Americas,Chile,390.1
Per capita total expenditure on health at average exchange rate (US$),1997,Americas,Chile,405.8
Per capita total expenditure on health at average exchange rate (US$),2002,Americas,Chile,330.7
Per capita total expenditure on health at average exchange rate (US$),2001,Americas,Chile,348
Per capita total expenditure on health at average exchange rate (US$),2004,Americas,Chile,414.2
Per capita total expenditure on health at average exchange rate (US$),1996,Americas,Chile,376.4
Per capita total expenditure on health at average exchange rate (US$),1995,Americas,Chile,333.5
Per capita total expenditure on health at average exchange rate (US$),2008,Americas,Chile,732
Per capita total expenditure on health at average exchange rate (US$),2006,Americas,Chile,586.8
Per capita total expenditure on health at average exchange rate (US$),2007,Americas,Chile,664.6
Per capita total expenditure on health at average exchange rate (US$),2010,Americas,Chile,894.4
Per capita total expenditure on health at average exchange rate (US$),2009,Americas,Chile,760
Per capita total expenditure on health at average exchange rate (US$),2011,Americas,Chile,1021.6
Per capita total expenditure on health at average exchange rate (US$),2012,Americas,Chile,1103.4
Per capita government expenditure on health (PPP int. $),1995,Western Pacific,China,26.1
Per capita government expenditure on health (PPP int. $),1996,Western Pacific,China,28.7
Per capita government expenditure on health (PPP int. $),1997,Western Pacific,China,32
Per capita government expenditure on health (PPP int. $),1999,Western Pacific,China,38.9
Per capita government expenditure on health (PPP int. $),2002,Western Pacific,China,48.6
Per capita government expenditure on health (PPP int. $),2005,Western Pacific,China,73.5
Per capita government expenditure on health (PPP int. $),2000,Western Pacific,China,41.1
Per capita government expenditure on health (PPP int. $),2003,Western Pacific,China,55.2
Per capita government expenditure on health (PPP int. $),2004,Western Pacific,China,63.8
Per capita government expenditure on health (PPP int. $),1998,Western Pacific,China,35.4
Per capita government expenditure on health (PPP int. $),2001,Western Pacific,China,41.7
Per capita government expenditure on health (PPP int. $),2007,Western Pacific,China,111.7
Per capita government expenditure on health (PPP int. $),2010,Western Pacific,China,199.5
Per capita government expenditure on health (PPP int. $),2008,Western Pacific,China,140.7
Per capita government expenditure on health (PPP int. $),2009,Western Pacific,China,179.9
Per capita government expenditure on health (PPP int. $),2006,Western Pacific,China,86.6
Per capita government expenditure on health (PPP int. $),2011,Western Pacific,China,236.5
Per capita government expenditure on health (PPP int. $),2012,Western Pacific,China,268.6
Per capita government expenditure on health at average exchange rate (US$),1995,Western Pacific,China,10.5
Per capita government expenditure on health at average exchange rate (US$),2000,Western Pacific,China,16.5
Per capita government expenditure on health at average exchange rate (US$),1997,Western Pacific,China,13.5
Per capita government expenditure on health at average exchange rate (US$),1999,Western Pacific,China,15.6
Per capita government expenditure on health at average exchange rate (US$),2003,Western Pacific,China,22
Per capita government expenditure on health at average exchange rate (US$),2001,Western Pacific,China,16.7
Per capita government expenditure on health at average exchange rate (US$),2004,Western Pacific,China,26.4
Per capita government expenditure on health at average exchange rate (US$),1998,Western Pacific,China,14.6
Per capita government expenditure on health at average exchange rate (US$),1996,Western Pacific,China,12.1
Per capita government expenditure on health at average exchange rate (US$),2002,Western Pacific,China,19.2
